"census_tract","total_population","california_county","zip","approximate_location","longitude","latitude","ces_4_0_score","ces_4_0_percentile","ces_4_0_percentile_range","ozone","ozone_pctl","pm2_5","pm2_5_pctl","diesel_pm","diesel_pm_pctl","drinking_water","drinking_water_pctl","lead","lead_pctl","pesticides","pesticides_pctl","tox_release","tox_release_pctl","traffic","traffic_pctl","cleanup_sites","cleanup_sites_pctl","groundwater_threats","groundwater_threats_pctl","haz_waste","haz_waste_pctl","imp_water_bodies","imp_water_bodies_pctl","solid_waste","solid_waste_pctl","pollution_burden","pollution_burden_score","pollution_burden_pctl","asthma","asthma_pctl","low_birth_weight","low_birth_weight_pctl","cardiovascular_disease","cardiovascular_disease_pctl","education","education_pctl","linguistic_isolation","linguistic_isolation_pctl","poverty","poverty_pctl","unemployment","unemployment_pctl","housing_burden","housing_burden_pctl","pop_char","pop_char_score","pop_char_pctl","direct","indirect","avg_env","scaled_comp_env","avg_pop","scaled_comp_pop","water_risk_score","PCT"
6073008358,7467,"San Diego",92126,"San Diego",-117.1335,32.90996,20.86,39.73,"35-40%",0.047,48.45,9.425406,43.61,0.157,52.83,312.86,28.99,30.75,24.84,0,0,92.06053,22.76,974.7253,56.35,7,50.32,0,0,0.615,75.35,2,23.88,1,35.72,35.5,4.33,30.37,35.03,33.57,6.13,77.8,10.17,31.24,12.4,49.42,8.5,55.6,17,27.05,5.8,55.02,15.1,39.2,46.4,4.81,44.91,17.62333,18.8375,24.30722,0,36.2064,0,0,61
6037910202,5823,"Los Angeles",93551,"Unincorporated Los Angeles County area",-118.175,34.62864,20.86,39.71,"35-40%",0.062,88.7,6.980417,6.78,0.039,14.26,638.59,71.3,35.82,31.57,0,0,5554.817,93.4,1361.011,74.1,1,17.08,0,0,0.26,44.73,0,0,0.2,9.67,36.44,4.45,32.93,45.11,48.93,5.49,64.18,12.9,53.23,14.6,54.42,1.4,10.45,15.5,23.17,6.3,60.57,12.6,26.17,45.2,4.69,43.13,23.76667,11.1825,23.29944,0,27.9648,0,0,61
6073020025,4771,"San Diego",92069,"San Marcos",-117.1299,33.13952,20.86,39.7,"35-40%",0.046,46.99,8.427355,20.95,0.167,55.37,302.48,24.4,25.35,18.19,0,0,34.73547,15.54,905.1217,51.88,10.5,62.45,15,59.6,0.835,82.25,0,0,3,63.67,37.31,4.56,35.3,23.74,14.28,4.26,32.76,12.59,51.26,12.7,49.97,2.5,19.87,24.6,43.73,10.9,89.46,23.1,74.52,44.14,4.58,41.34,28,20.5625,32.375,0,44.408,0,0,61
6037463700,3138,"Los Angeles",91105,"Pasadena",-118.1562,34.13986,20.85,39.69,"35-40%",0.056,74.1,11.30302,57.92,0.427,86.41,634.13,71.13,29.19,23.01,0,0,1115.356,66.37,1413.084,75.78,44.25,94.62,0,0,0.86,82.74,2,23.88,1.35,39.45,53.94,6.59,80.12,26.48,19.17,5.78,70.61,7.75,12.06,2.2,6.95,2.7,21.42,13.4,18.18,3.5,23.75,20.6,65.18,30.52,3.17,20.66,31.67,20.685,34.90333,0,21.6768,0,0,61
6071011206,951,"San Bernardino",92315,"Big Bear Lake",-116.9467,34.24095,20.84,39.67,"35-40%",0.072,99.07,6.067159,3.4,0.035,12.56,207.22,8.34,43.25,41.74,0,0,16.863,10.72,273.6548,6.91,0,0,0,0,0,0,7,66.74,2,52.9,23.2,2.83,6.41,76.36,83.03,NA,NA,27.99,99.26,15.9,57.52,1.4,10.45,45,76.11,NA,NA,19,58.77,70.93,7.36,81.32,25.02667,0,16.68444,0,NA,NA,NA,NA
6059011503,1839,"Orange",92831,"Fullerton",-117.8934,33.87938,20.84,39.66,"35-40%",0.048,55.38,12.14905,86.97,0.131,46.09,685.45,75.66,51.71,53.94,0,0,3858.717,88.62,970.4167,56.23,0.9,11.83,1,6.97,0.195,32.03,0,0,0,0,41.96,5.12,48.46,46.3,51,3.8,22.08,12.06,46.42,5.2,22.22,NA,NA,18.4,30.46,7.6,72.53,13.2,29.16,39.21,4.07,34.15,27.54333,8.0075,23.70056,0,NA,NA,NA,NA
6065044931,2093,"Riverside",92234,"Cathedral City",-116.4494,33.8196,20.83,39.65,"35-40%",0.062,88.7,6.873474,6.37,0.106,39.25,407.93,45.36,27.94,21.39,0,0,0.06370693,2.23,1026.343,59.66,0,0,1.5,10.64,0.15,26.67,0,0,0.2,9.67,25.05,3.06,8.75,40.14,41.76,5.97,74.52,13.88,59.5,28.9,78.75,8.3,54.58,39.7,68.83,NA,NA,29,88.87,65.68,6.81,74.05,18.66667,6.6675,16.88944,0,NA,NA,NA,NA
6059052423,5905,"Orange",92630,"Lake Forest",-117.6599,33.65888,20.83,39.64,"35-40%",0.053,67.9,9.989999,49.06,0.085,31.46,411.38,47.3,26.62,19.91,66.51,74.17,667.0567,57.16,917.4533,52.85,0,0,0,0,0.59,73.86,11,86.96,2.2,54.85,47.7,5.82,64.11,24.99,16.48,4.27,32.97,12.38,49.59,6.7,28.83,9,57.76,20.2,34.7,3.8,28.2,13.4,30.2,34.48,3.58,26.55,44.75333,37.0075,54.50722,0,28.7504,0,0,61
6093001000,6544,"Siskiyou",96067,"Mount Shasta",-122.3333,41.34417,20.83,39.62,"35-40%",0.046,45.04,3.156833,0.11,0.024,8.46,238.19,10.22,32.6,27.37,0.49,37.62,0.09014493,2.44,365.885,12.01,18,79.69,4,26.17,0.2,35.62,5,51.22,10,91.04,30.86,3.77,19.7,52.72,59.92,NA,NA,20.34,88.46,4.2,17.25,0,0,39.5,68.48,2.4,9.72,20.9,66.51,53.29,5.53,55.07,29.20333,18.31,31.67556,0,25.9136,0,0,61
6067009619,7863,"Sacramento",95758,"Elk Grove",-121.4716,38.42152,20.83,39.61,"35-40%",0.044,37.57,8.698152,29.77,0.116,42.3,406.54,44.59,12.04,5.28,0,0,62.93226,19.82,1839.625,84.54,0,0,5.75,32.77,0.08,10.55,7,66.74,0,0,29.33,3.58,16.27,52.61,59.77,5.39,61.95,17.13,76.76,8,34.38,6.5,46,24.3,43.14,4.9,43.09,20.1,63.26,56.07,5.82,59.67,48.03333,2.6375,33.78056,0,36.7792,0,0,61
